Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14
8.645,91.035,0,0,0,0.78,0.02257764,0.000065,3.78,103.65,714277,0.72,35.28,6.4,2015
6.63625,98.64,0.455,0.0825,0.82,0.52,0.01724315,0.0013,3.78,103.65,714277,0.72,35.28,6.4,2015
6.30625,93.59,0,0,0,16.15,0.01467643,0.005722,3.78,103.65,714277,0.72,35.28,6.4,2015
9.91875,96.6575,0,0,0,0.25,0.00531216,0,3.78,103.65,714277,0.72,35.28,6.4,2015
7.96375,95.55,0,0,0,0.05,0,0,3.78,103.65,714277,0.72,35.28,6.4,2015
32.14125,87.435,0,0,0,0.01,0,0,3.78,103.65,714277,0.72,35.28,6.4,2015
9.62375,94.9925,0,0,0,21.38,0.01662971,0.001,3.78,103.65,714277,0.72,35.28,6.4,2015
4.865,96.2675,0,0,0,0.34,0.0111104,0,3.78,103.65,714277,0.72,35.28,6.4,2015
4.855,94.1175,0,0,0,0.23,0.41619267,0,3.78,103.65,714277,0.72,35.28,6.4,2015
8.885,96.3375,0,0,0,15.75,0.01726192,0.001813,3.78,103.65,714277,0.72,35.28,6.4,2015
6.84875,94.9,0,0,0,0.15,0,0.02,3.78,103.65,714277,0.72,35.28,6.4,2015
35.0925,87.6725,0,0,0,8.44,0.03603175,0.002533,3.78,103.65,714277,0.72,35.28,6.4,2015
9.95125,94.1575,0,0,0,1.35,0.01438843,0.001475,3.78,103.65,714277,0.72,35.28,6.4,2015
4.985,95.835,0.455,0.0825,0.82,1.97,0.06814857,0.00247,3.78,103.65,714277,0.72,35.28,6.4,2015
